Service: detexify
Number of symbols: 800
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |    210454 |   4.0 % |   4.3 % |   4.4 % |   4.5 % |   4.6 % |
| MEAN (classes)            |    210454 |  91.3 % |  95.4 % |  96.9 % |  97.3 % |  97.6 % |
| \int                      |       218 |  51.4 % |  69.7 % |  87.6 % |  93.6 % |  96.3 % |
| \sum                      |       173 |  49.1 % |  63.6 % |  75.7 % |  89.6 % |  93.6 % |
| \equiv                    |       114 |  74.6 % |  91.2 % |  97.4 % |  98.2 % |  98.2 % |
| \approx                   |       110 |  68.2 % |  92.7 % |  97.3 % |  98.2 % |  99.1 % |
| \alpha                    |       107 |  49.5 % |  61.7 % |  80.4 % |  90.7 % |  93.5 % |
| \infty                    |       107 |  86.0 % |  92.5 % |  95.3 % |  97.2 % |  98.1 % |
| \mathds{R}                |       106 |  75.5 % |  88.7 % |  94.3 % |  94.3 % |  95.3 % |
| \partial                  |       106 |  76.4 % |  85.8 % |  93.4 % |  98.1 % |  98.1 % |
| \Sigma                    |        99 |  53.5 % |  70.7 % |  78.8 % |  87.9 % |  91.9 % |
| \square                   |        97 |  78.4 % |  89.7 % |  92.8 % |  92.8 % |  92.8 % |
| \sim                      |        96 |  58.3 % |  71.9 % |  79.2 % |  91.7 % |  97.9 % |
| \Rightarrow               |        95 |  67.4 % |  94.7 % |  97.9 % |  98.9 % |  98.9 % |
| \neq                      |        85 |  67.1 % |  96.5 % |  97.6 % |  98.8 % |  98.8 % |
| \pm                       |        78 |  65.4 % |  78.2 % |  80.8 % |  84.6 % |  92.3 % |
| \subseteq                 |        74 |  86.5 % |  94.6 % |  98.6 % |  98.6 % |  98.6 % |
| \forall                   |        72 |  77.8 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \varphi                   |        72 |  80.6 % |  94.4 % |  94.4 % |  97.2 % |  97.2 % |
| \times                    |        71 |  76.1 % |  94.4 % |  95.8 % |  95.8 % |  98.6 % |
| \xi                       |        71 |  54.9 % |  69.0 % |  74.6 % |  77.5 % |  84.5 % |
| \wedge                    |        66 |  72.7 % |  87.9 % |  95.5 % | 100.0 % | 100.0 % |
| \exists                   |        64 |  75.0 % |  84.4 % |  89.1 % |  89.1 % |  90.6 % |
| \smiley                   |        64 |  68.8 % |  79.7 % |  81.2 % |  82.8 % |  85.9 % |
| \{                        |        63 |  81.0 % |  93.7 % |  95.2 % |  98.4 % |  98.4 % |
| \sqrt{}                   |        63 |  63.5 % |  84.1 % |  92.1 % |  93.7 % |  95.2 % |
| \Leftrightarrow           |        62 |  91.9 % |  96.8 % | 100.0 % | 100.0 % | 100.0 % |
| \ll                       |        61 |  90.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \in                       |        61 |  62.3 % |  78.7 % |  96.7 % |  96.7 % |  98.4 % |
| \cong                     |        60 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightarrow               |        60 |  58.3 % |  68.3 % |  71.7 % |  81.7 % |  91.7 % |
| \oplus                    |        60 |  75.0 % |  85.0 % |  93.3 % |  98.3 % |  98.3 % |
| \pi                       |        59 |  49.2 % |  69.5 % |  79.7 % |  81.4 % |  84.7 % |
| \propto                   |        57 |  73.7 % |  89.5 % |  91.2 % |  98.2 % | 100.0 % |
| \perp                     |        57 |  22.8 % |  33.3 % |  38.6 % |  40.4 % |  43.9 % |
| \#                        |        57 |  77.2 % |  87.7 % |  91.2 % |  94.7 % |  98.2 % |
| \sigma                    |        56 |  69.6 % |  83.9 % |  91.1 % |  94.6 % |  94.6 % |
| \mathds{N}                |        55 |  92.7 % |  96.4 % |  98.2 % |  98.2 % |  98.2 % |
| \nabla                    |        55 |  87.3 % |  94.5 % |  98.2 % |  98.2 % |  98.2 % |
| \lambda                   |        55 |  70.9 % |  76.4 % |  83.6 % |  87.3 % |  89.1 % |
| \&                        |        55 |  85.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \prod                     |        54 |  66.7 % |  79.6 % |  87.0 % |  87.0 % |  90.7 % |
| \Smiley                   |        54 |  64.8 % |  74.1 % |  79.6 % |  81.5 % |  81.5 % |
| \leq                      |        54 |  92.6 % |  98.1 % | 100.0 % | 100.0 % | 100.0 % |
| \neg                      |        54 |  70.4 % |  92.6 % | 100.0 % | 100.0 % | 100.0 % |
| \circ                     |        53 |  66.0 % |  71.7 % |  73.6 % |  81.1 % |  84.9 % |
| \otimes                   |        52 |  82.7 % |  88.5 % |  90.4 % |  92.3 % |  94.2 % |
| [                         |        52 |  96.2 % |  98.1 % |  98.1 % | 100.0 % | 100.0 % |
| \notin                    |        51 |  84.3 % |  92.2 % |  92.2 % |  94.1 % |  96.1 % |
| \Delta                    |        50 |  78.0 % |  92.0 % |  96.0 % |  98.0 % | 100.0 % |
| \mu                       |        50 |  80.0 % |  90.0 % |  94.0 % |  94.0 % |  98.0 % |
| \cap                      |        48 |  81.2 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
