Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |     20000 |  51.1 % |  70.3 % |  79.2 % |  84.4 % |  87.6 % |
| MEAN (classes)            |     20000 |  73.3 % |  82.3 % |  86.9 % |  89.7 % |  91.6 % |
| \int                      |       364 |  32.7 % |  58.0 % |  81.9 % |  91.5 % |  94.2 % |
| \sum                      |       355 |  39.2 % |  62.8 % |  78.3 % |  87.3 % |  90.4 % |
| \partial                  |       246 |  59.8 % |  83.3 % |  94.3 % |  95.5 % |  97.6 % |
| \equiv                    |       232 |  65.1 % |  86.2 % |  95.3 % |  97.0 % |  97.0 % |
| \alpha                    |       225 |  29.8 % |  49.8 % |  72.4 % |  83.6 % |  91.1 % |
| \mathds{R}                |       208 |  64.4 % |  86.5 % |  92.8 % |  94.7 % |  95.7 % |
| \approx                   |       206 |  51.5 % |  95.1 % |  98.5 % |  99.0 % |  99.5 % |
| \infty                    |       190 |  86.3 % |  96.3 % |  97.9 % |  98.9 % |  99.5 % |
| \Rightarrow               |       188 |  44.7 % |  87.8 % |  96.8 % |  97.3 % |  97.3 % |
| \sim                      |       188 |  30.9 % |  51.1 % |  67.6 % |  86.7 % |  96.8 % |
| \subseteq                 |       179 |  54.7 % |  86.0 % |  93.3 % |  95.5 % |  96.6 % |
| \Sigma                    |       174 |  29.9 % |  51.7 % |  74.1 % |  81.6 % |  90.2 % |
| \xi                       |       172 |  29.7 % |  47.1 % |  60.5 % |  71.5 % |  76.7 % |
| \square                   |       170 |  65.3 % |  81.8 % |  88.2 % |  88.2 % |  88.2 % |
| \pi                       |       162 |  16.0 % |  43.2 % |  57.4 % |  67.3 % |  72.2 % |
| \neq                      |       158 |  40.5 % |  83.5 % |  88.0 % |  89.9 % |  94.3 % |
| \times                    |       157 |  40.1 % |  63.1 % |  77.7 % |  83.4 % |  87.9 % |
| \forall                   |       155 |  46.5 % |  82.6 % |  97.4 % |  98.1 % |  98.1 % |
| \pm                       |       153 |  20.9 % |  45.8 % |  58.8 % |  71.2 % |  81.7 % |
| \varphi                   |       147 |  46.9 % |  85.7 % |  90.5 % |  91.8 % |  92.5 % |
| \wedge                    |       146 |  16.4 % |  52.7 % |  78.8 % |  93.8 % |  97.3 % |
| \oint                     |       141 |  67.4 % |  85.1 % |  90.1 % |  91.5 % |  91.5 % |
| \propto                   |       140 |  49.3 % |  85.0 % |  93.6 % |  98.6 % |  99.3 % |
| \&                        |       137 |  44.5 % |  89.8 % |  94.2 % |  98.5 % |  98.5 % |
| \oplus                    |       136 |  27.2 % |  55.1 % |  66.9 % |  77.2 % |  82.4 % |
| \in                       |       136 |  29.4 % |  63.2 % |  82.4 % |  91.9 % |  96.3 % |
| \cong                     |       135 |  71.1 % |  97.0 % |  98.5 % |  99.3 % |  99.3 % |
| \notin                    |       127 |  55.1 % |  72.4 % |  85.0 % |  90.6 % |  92.9 % |
| \MVAt                     |       125 |  81.6 % |  93.6 % |  96.0 % |  97.6 % |  97.6 % |
| \Leftrightarrow           |       118 |  68.6 % |  89.8 % |  94.1 % |  94.1 % |  94.1 % |
