Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |     10000 |  41.9 % |  60.9 % |  69.7 % |  75.0 % |  78.6 % |
| MEAN (classes)            |     10000 |  47.4 % |  63.4 % |  70.7 % |  74.7 % |  77.9 % |
| \sum                      |       167 |  31.7 % |  55.7 % |  76.0 % |  85.6 % |  91.6 % |
| \int                      |       148 |  35.8 % |  60.8 % |  84.5 % |  95.9 % |  96.6 % |
| \alpha                    |       121 |  28.1 % |  49.6 % |  71.1 % |  85.1 % |  88.4 % |
| \equiv                    |       101 |  71.3 % |  93.1 % |  98.0 % |  99.0 % |  99.0 % |
| \partial                  |        98 |  62.2 % |  88.8 % |  93.9 % |  96.9 % |  98.0 % |
| \sim                      |        96 |  28.1 % |  49.0 % |  69.8 % |  84.4 % |  99.0 % |
| \mathds{R}                |        89 |  64.0 % |  93.3 % |  95.5 % |  95.5 % |  95.5 % |
| \approx                   |        86 |  51.2 % |  84.9 % |  97.7 % |  97.7 % |  98.8 % |
| \infty                    |        84 |  90.5 % |  97.6 % |  98.8 % |  98.8 % | 100.0 % |
| \Rightarrow               |        79 |  46.8 % |  82.3 % |  91.1 % |  92.4 % |  93.7 % |
| \wedge                    |        75 |  17.3 % |  52.0 % |  81.3 % |  96.0 % |  98.7 % |
| \forall                   |        75 |  53.3 % |  89.3 % |  97.3 % |  98.7 % |  98.7 % |
| \pi                       |        74 |  25.7 % |  40.5 % |  56.8 % |  64.9 % |  71.6 % |
| \exists                   |        73 |  71.2 % |  83.6 % |  86.3 % |  89.0 % |  90.4 % |
| \subseteq                 |        70 |  60.0 % |  90.0 % |  94.3 % |  97.1 % |  97.1 % |
| \xi                       |        69 |  34.8 % |  59.4 % |  71.0 % |  76.8 % |  81.2 % |
| \times                    |        68 |  33.8 % |  64.7 % |  77.9 % |  86.8 % |  94.1 % |
| \neq                      |        67 |  38.8 % |  89.6 % |  92.5 % |  92.5 % |  95.5 % |
| \Sigma                    |        66 |  27.3 % |  57.6 % |  77.3 % |  86.4 % |  89.4 % |
| \varphi                   |        64 |  54.7 % |  87.5 % |  90.6 % |  92.2 % |  95.3 % |
| \nabla                    |        64 |  25.0 % |  68.8 % |  87.5 % |  93.8 % |  93.8 % |
| \pm                       |        64 |  20.3 % |  42.2 % |  60.9 % |  71.9 % |  85.9 % |
