Service: detexify
Number of symbols: 807
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| MEAN (dataset)            |     10000 |  47.1 % |  67.1 % |  77.1 % |  82.9 % |  86.7 % |
| MEAN (classes)            |     10000 |  56.1 % |  71.1 % |  79.1 % |  83.6 % |  86.6 % |
| \int                      |       184 |  38.6 % |  61.4 % |  85.3 % |  92.9 % |  97.3 % |
| \sum                      |       182 |  34.6 % |  58.8 % |  76.9 % |  87.4 % |  88.5 % |
| \mathds{R}                |       127 |  67.7 % |  87.4 % |  95.3 % |  96.9 % |  96.9 % |
| \approx                   |       122 |  51.6 % |  90.2 % |  97.5 % |  98.4 % |  99.2 % |
| \alpha                    |       118 |  34.7 % |  52.5 % |  71.2 % |  94.1 % |  96.6 % |
| \equiv                    |       116 |  69.0 % |  85.3 % |  97.4 % |  98.3 % |  98.3 % |
| \partial                  |       115 |  60.9 % |  82.6 % |  89.6 % |  92.2 % |  93.0 % |
| \infty                    |       115 |  96.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Rightarrow               |        93 |  45.2 % |  83.9 % |  95.7 % |  96.8 % |  96.8 % |
| \square                   |        92 |  73.9 % |  85.9 % |  89.1 % |  91.3 % |  94.6 % |
| \xi                       |        91 |  37.4 % |  60.4 % |  71.4 % |  80.2 % |  85.7 % |
| \subseteq                 |        90 |  65.6 % |  84.4 % |  88.9 % |  94.4 % |  97.8 % |
| \pm                       |        88 |  18.2 % |  47.7 % |  65.9 % |  78.4 % |  86.4 % |
| \sim                      |        86 |  37.2 % |  52.3 % |  67.4 % |  87.2 % |  95.3 % |
| \varphi                   |        84 |  46.4 % |  89.3 % |  95.2 % |  96.4 % |  96.4 % |
| \cong                     |        82 |  74.4 % |  96.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Sigma                    |        81 |  34.6 % |  58.0 % |  72.8 % |  85.2 % |  90.1 % |
| \times                    |        80 |  28.8 % |  50.0 % |  67.5 % |  78.8 % |  85.0 % |
| \pi                       |        80 |  27.5 % |  43.8 % |  58.8 % |  68.8 % |  76.2 % |
| \Leftrightarrow           |        79 |  54.4 % |  83.5 % |  86.1 % |  89.9 % |  89.9 % |
| \forall                   |        78 |  56.4 % |  96.2 % |  98.7 % | 100.0 % | 100.0 % |
| \Smiley                   |        77 |  33.8 % |  58.4 % |  77.9 % |  79.2 % |  81.8 % |
| \neq                      |        76 |  35.5 % |  88.2 % |  93.4 % |  94.7 % | 100.0 % |
| \rightarrow               |        66 |   9.1 % |  37.9 % |  51.5 % |  65.2 % |  84.8 % |
| \&                        |        65 |  52.3 % |  90.8 % |  95.4 % |  98.5 % |  98.5 % |
| \notin                    |        64 |  59.4 % |  79.7 % |  87.5 % |  90.6 % |  93.8 % |
| \oint                     |        63 |  65.1 % |  82.5 % |  93.7 % |  95.2 % |  96.8 % |
| \exists                   |        63 |  66.7 % |  79.4 % |  82.5 % |  85.7 % |  85.7 % |
| \prod                     |        63 |  19.0 % |  36.5 % |  55.6 % |  71.4 % |  81.0 % |
| \sigma                    |        62 |  45.2 % |  72.6 % |  79.0 % |  87.1 % |  90.3 % |
| \MVAt                     |        62 |  71.0 % |  90.3 % |  93.5 % |  95.2 % |  95.2 % |
| \wedge                    |        60 |  18.3 % |  58.3 % |  85.0 % |  95.0 % |  98.3 % |
| \gamma                    |        60 |  18.3 % |  40.0 % |  55.0 % |  68.3 % |  85.0 % |
| \#                        |        60 |  43.3 % |  68.3 % |  73.3 % |  80.0 % |  88.3 % |
| \mathds{N}                |        59 |  76.3 % |  78.0 % |  83.1 % |  83.1 % |  83.1 % |
| \in                       |        58 |  32.8 % |  63.8 % |  82.8 % |  94.8 % |  98.3 % |
| \nabla                    |        58 |  39.7 % |  69.0 % |  94.8 % |  96.6 % |  96.6 % |
| \simeq                    |        58 |  82.8 % |  96.6 % |  96.6 % | 100.0 % | 100.0 % |
| \propto                   |        56 |  48.2 % |  87.5 % |  91.1 % |  98.2 % | 100.0 % |
| \mathds{Z}                |        56 |  75.0 % |  89.3 % |  92.9 % |  94.6 % |  94.6 % |
| \ll                       |        55 |  63.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \{                        |        54 |  29.6 % |  61.1 % |  87.0 % |  92.6 % |  94.4 % |
| \cap                      |        54 |  40.7 % |  81.5 % |  85.2 % |  87.0 % |  92.6 % |
| \smiley                   |        53 |  41.5 % |  52.8 % |  60.4 % |  66.0 % |  67.9 % |
| \leq                      |        53 |  66.0 % |  84.9 % |  88.7 % |  90.6 % |  92.5 % |
| \emptyset                 |        53 |  24.5 % |  39.6 % |  50.9 % |  60.4 % |  81.1 % |
| \oplus                    |        53 |  20.8 % |  54.7 % |  67.9 % |  77.4 % |  84.9 % |
| \checkmark                |        51 |  49.0 % |  82.4 % |  96.1 % |  98.0 % | 100.0 % |
| \lesssim                  |        51 |  86.3 % |  94.1 % |  94.1 % |  96.1 % |  98.0 % |
