Service: detexify, mapping: none
Found 970 / 1077 classes
Macro-scores: 471 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| <Accuracy>                |     20000 |  44.3 % |  64.7 % |  74.0 % |  79.5 % |  83.0 % |
| <Macro>                   |     18050 |  39.1 % |  56.2 % |  64.2 % |  69.3 % |  72.6 % |
| \sum                      |       340 |  33.8 % |  60.0 % |  76.8 % |  85.3 % |  90.0 % |
| \int                      |       313 |  35.8 % |  59.1 % |  81.5 % |  92.0 % |  94.6 % |
| \alpha                    |       238 |  29.0 % |  50.8 % |  71.4 % |  86.6 % |  91.2 % |
| \equiv                    |       232 |  72.8 % |  91.8 % |  97.8 % |  98.7 % |  99.1 % |
| \partial                  |       229 |  63.3 % |  88.2 % |  93.0 % |  96.5 % |  97.4 % |
| \mathds{R}                |       205 |  69.8 % |  91.2 % |  94.6 % |  95.1 % |  95.1 % |
| \infty                    |       200 |  88.0 % |  94.0 % |  98.5 % |  99.5 % | 100.0 % |
| \sim                      |       199 |  29.6 % |  50.8 % |  68.8 % |  87.9 % |  99.5 % |
| \approx                   |       177 |  52.5 % |  90.4 % |  98.3 % |  98.3 % |  98.9 % |
| \square                   |       168 |  75.6 % |  86.9 % |  91.1 % |  93.5 % |  94.6 % |
| \Rightarrow               |       161 |  47.8 % |  85.1 % |  95.0 % |  95.7 % |  96.3 % |
| \wedge                    |       158 |  20.3 % |  50.6 % |  81.6 % |  94.9 % |  98.7 % |
| \exists                   |       155 |  71.6 % |  82.6 % |  86.5 % |  88.4 % |  89.0 % |
| \xi                       |       154 |  37.0 % |  58.4 % |  69.5 % |  76.6 % |  79.2 % |
| \forall                   |       148 |  49.3 % |  90.5 % |  96.6 % |  98.0 % |  98.6 % |
| \subseteq                 |       147 |  63.3 % |  88.4 % |  91.8 % |  95.2 % |  95.9 % |
| \varphi                   |       147 |  51.7 % |  88.4 % |  92.5 % |  95.2 % |  97.3 % |
| \times                    |       144 |  35.4 % |  66.7 % |  78.5 % |  85.4 % |  91.7 % |
| \pi                       |       143 |  21.0 % |  43.4 % |  55.9 % |  65.0 % |  72.0 % |
| \in                       |       142 |  33.1 % |  67.6 % |  88.7 % |  95.8 % |  97.9 % |
| \neq                      |       140 |  39.3 % |  87.1 % |  91.4 % |  92.1 % |  95.0 % |
| \Sigma                    |       132 |  22.7 % |  53.0 % |  75.0 % |  87.1 % |  90.2 % |
