Service: detexify, mapping: similar-0
Found 820 / 926 classes
Macro score: 376 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------------|-----------|---------|---------|---------|---------|---------|
| <Accuracy>                |     20000 |  59.1 % |  76.4 % |  82.9 % |  86.0 % |  87.8 % |
| <Macro>                   |     18338 |  47.6 % |  62.1 % |  67.9 % |  71.0 % |  73.2 % |
| \Sigma                    |       488 |  74.4 % |  91.6 % |  95.9 % |  96.3 % |  96.7 % |
| \alpha                    |       418 |  93.1 % |  97.6 % |  98.3 % |  98.8 % |  99.3 % |
| \int                      |       347 |  59.7 % |  83.9 % |  94.2 % |  97.7 % |  98.8 % |
| \varepsilon               |       317 |  77.0 % |  92.7 % |  97.2 % |  99.4 % |  99.7 % |
| o                         |       285 |  52.6 % |  83.2 % |  93.7 % |  96.8 % |  98.2 % |
| \sim                      |       260 |  94.6 % |  99.2 % |  99.2 % |  99.6 % |  99.6 % |
| \varnothing               |       251 |  63.7 % |  85.7 % |  91.2 % |  93.6 % |  95.6 % |
| \wedge                    |       248 |  69.0 % |  89.1 % |  96.8 % |  98.0 % |  98.0 % |
| \equiv                    |       232 |  72.8 % |  91.8 % |  97.8 % |  98.7 % |  99.1 % |
| \partial                  |       229 |  63.3 % |  88.2 % |  93.0 % |  96.9 % |  97.8 % |
| \mathbb{R}                |       205 |  69.8 % |  91.2 % |  94.6 % |  95.1 % |  95.1 % |
| \infty                    |       200 |  88.0 % |  96.5 % |  99.5 % | 100.0 % | 100.0 % |
| \pi                       |       196 |  44.9 % |  64.3 % |  78.1 % |  82.7 % |  86.2 % |
| \Pi                       |       195 |  44.6 % |  68.7 % |  85.1 % |  93.8 % |  94.4 % |
| X                         |       183 |  53.0 % |  79.2 % |  86.9 % |  90.7 % |  93.4 % |
| \Rightarrow               |       180 |  88.3 % |  94.4 % |  95.0 % |  95.6 % |  96.1 % |
| \approx                   |       177 |  52.5 % |  90.4 % |  98.3 % |  98.3 % |  98.9 % |
| \bot                      |       172 |  24.4 % |  47.7 % |  65.7 % |  82.6 % |  93.0 % |
| \square                   |       168 |  75.6 % |  86.9 % |  91.1 % |  93.5 % |  94.6 % |
| \pm                       |       156 |  29.5 % |  66.0 % |  91.7 % |  96.2 % |  98.7 % |
| \exists                   |       155 |  71.6 % |  82.6 % |  86.5 % |  88.4 % |  89.0 % |
| \rightarrow               |       155 |  44.5 % |  71.0 % |  85.2 % |  92.3 % |  94.2 % |
| \cap                      |       154 |  86.4 % |  94.8 % |  96.1 % |  98.1 % |  98.1 % |
| \xi                       |       154 |  37.0 % |  61.0 % |  73.4 % |  79.9 % |  84.4 % |
| \oplus                    |       151 |  38.4 % |  72.8 % |  90.7 % |  94.7 % |  95.4 % |
| \forall                   |       148 |  49.3 % |  90.5 % |  96.6 % |  98.0 % |  98.6 % |
| \Leftrightarrow           |       147 |  80.3 % |  89.8 % |  90.5 % |  90.5 % |  91.2 % |
| \subseteq                 |       147 |  63.3 % |  92.5 % |  95.9 % |  96.6 % |  97.3 % |
| \varphi                   |       147 |  51.7 % |  88.4 % |  92.5 % |  95.2 % |  97.3 % |
| \leq                      |       145 |  86.9 % |  89.7 % |  91.0 % |  93.1 % |  94.5 % |
| \Delta                    |       144 |  95.8 % |  99.3 % | 100.0 % | 100.0 % | 100.0 % |
| \nabla                    |       142 |  87.3 % |  97.2 % |  98.6 % |  98.6 % |  99.3 % |
| \neq                      |       140 |  39.3 % |  87.1 % |  91.4 % |  92.9 % |  95.0 % |
| \sigma                    |       136 |  80.1 % |  88.2 % |  91.2 % |  93.4 % |  94.9 % |
| \{                        |       136 |  80.1 % |  94.1 % |  97.1 % |  97.8 % |  97.8 % |
| \&                        |       135 |  80.0 % |  91.1 % |  94.8 % |  94.8 % |  96.3 % |
| \beta                     |       132 |  60.6 % |  82.6 % |  93.2 % |  95.5 % |  97.0 % |
| \mathbb{1}                |       131 |  80.2 % |  90.1 % |  91.6 % |  91.6 % |  93.1 % |
| U                         |       129 |  84.5 % |  96.9 % |  98.4 % | 100.0 % | 100.0 % |
| \cong                     |       127 |  69.3 % |  95.3 % |  99.2 % | 100.0 % | 100.0 % |
| \Smiley                   |       121 |  33.9 % |  55.4 % |  71.9 % |  76.0 % |  77.7 % |
| \otimes                   |       121 |  71.1 % |  79.3 % |  86.0 % |  86.8 % |  88.4 % |
| \chi                      |       119 |  65.5 % |  78.2 % |  85.7 % |  91.6 % |  96.6 % |
| \#                        |       118 |  61.9 % |  78.0 % |  87.3 % |  94.9 % |  97.5 % |
| \geq                      |       117 |  82.9 % |  92.3 % |  96.6 % |  99.1 % |  99.1 % |
| \Omega                    |       116 |  66.4 % |  96.6 % |  98.3 % |  98.3 % | 100.0 % |
| \sqrt{}                   |       112 |  91.1 % |  97.3 % |  98.2 % | 100.0 % | 100.0 % |
| \simeq                    |       109 |  83.5 % |  99.1 % |  99.1 % |  99.1 % |  99.1 % |
| \notin                    |       108 |  57.4 % |  76.9 % |  91.7 % |  95.4 % |  98.1 % |
| /                         |       107 |  38.3 % |  57.9 % |  67.3 % |  70.1 % |  70.1 % |
| @                         |       106 |  85.8 % |  96.2 % |  98.1 % |  98.1 % |  98.1 % |
| \ll                       |       104 |  73.1 % |  99.0 % |  99.0 % |  99.0 % |  99.0 % |
| \vdash                    |       104 |  15.4 % |  37.5 % |  62.5 % |  76.9 % |  87.5 % |
| C                         |       103 |  83.5 % |  96.1 % |  97.1 % |  98.1 % |  98.1 % |
| \mapsto                   |       103 |  72.8 % |  88.3 % |  90.3 % |  91.3 % |  93.2 % |
| \ell                      |       100 |  85.0 % |  92.0 % |  94.0 % |  97.0 % |  99.0 % |
| \gamma                    |        99 |  16.2 % |  23.2 % |  43.4 % |  59.6 % |  67.7 % |
| \delta                    |        98 |  59.2 % |  86.7 % |  91.8 % |  93.9 % |  95.9 % |
| \checked                  |        97 |  88.7 % |  95.9 % |  96.9 % |  96.9 % |  97.9 % |
| \smiley                   |        96 |  30.2 % |  47.9 % |  54.2 % |  58.3 % |  62.5 % |
| \mu                       |        95 |  37.9 % |  72.6 % |  82.1 % |  90.5 % |  92.6 % |
| \oint                     |        95 |  61.1 % |  83.2 % |  90.5 % |  92.6 % |  93.7 % |
| \mathbb{N}                |        90 |  70.0 % |  85.6 % |  90.0 % |  92.2 % |  93.3 % |
| |                         |        88 |  72.7 % |  92.0 % |  98.9 % | 100.0 % | 100.0 % |
| \backslash                |        87 |  75.9 % |  87.4 % |  98.9 % | 100.0 % | 100.0 % |
