Service: hwrt, mapping: none
Number of symbols: 368
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
|---------------------|-----------|---------|---------|---------|---------|---------|
| MACRO               |     17074 |  71.5 % |  85.9 % |  89.1 % |  90.3 % |  90.7 % |
| MICRO               |     17074 |  80.9 % |  92.2 % |  94.3 % |  94.9 % |  95.2 % |
| \int                |       352 |  98.9 % |  99.1 % |  99.1 % |  99.4 % |  99.4 % |
| \sum                |       340 |  30.9 % |  95.0 % |  96.2 % |  96.5 % |  96.5 % |
| \infty              |       292 |  98.3 % |  99.0 % |  99.0 % |  99.0 % |  99.0 % |
| \alpha              |       260 |  70.0 % |  95.4 % |  96.2 % |  96.5 % |  96.5 % |
| \xi                 |       257 |  95.3 % |  96.5 % |  97.7 % |  98.1 % |  98.1 % |
| \equiv              |       252 |  98.4 % |  99.6 % | 100.0 % | 100.0 % | 100.0 % |
| \partial            |       241 |  95.4 % |  97.9 % |  98.8 % |  98.8 % |  98.8 % |
| \mathds{R}          |       239 |  97.1 % |  97.1 % |  97.5 % |  97.9 % |  97.9 % |
| \in                 |       230 |  99.1 % |  99.6 % | 100.0 % | 100.0 % | 100.0 % |
| \square             |       218 |  95.9 % |  98.2 % |  98.6 % |  98.6 % |  99.1 % |
| \forall             |       214 |  98.1 % |  99.1 % |  99.5 % |  99.5 % |  99.5 % |
| \approx             |       205 |  98.5 % |  99.5 % |  99.5 % |  99.5 % |  99.5 % |
| \sim                |       201 |  99.5 % |  99.5 % |  99.5 % |  99.5 % |  99.5 % |
| \Sigma              |       192 |  70.8 % |  95.8 % |  96.9 % |  97.4 % |  97.4 % |
| \Rightarrow         |       176 |  95.5 % |  98.9 % |  98.9 % |  99.4 % |  99.4 % |
| \pi                 |       159 |  64.8 % |  75.5 % |  93.7 % |  93.7 % |  94.3 % |
| \subseteq           |       158 |  98.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pm                 |       153 |  98.0 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \neq                |       153 |  96.7 % |  98.0 % |  99.3 % |  99.3 % |  99.3 % |
| \varphi             |       152 |  98.0 % |  98.7 % |  98.7 % |  99.3 % |  99.3 % |
| \times              |       151 |  95.4 % |  98.0 % |  98.0 % |  98.7 % |  98.7 % |
| \wedge              |       146 |  97.9 % |  98.6 % | 100.0 % | 100.0 % | 100.0 % |
